"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"","14","1","0","1","0.000000","1","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","14","2","2","1","2.136540","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","14","4","4","1","3.221061","0","0"
"/UXTools/BoundsControl/M_BoundsControl.M_BoundsControl","14","12","12","3","14.047274","0","0"
"/UXToolsExamples/Common/Assets/CoffeeCup/M_CoffeeCup.M_CoffeeCup","14","4","4","2","2.034987","0","0"
"/UXTools/Materials/M_GrabbableDots.M_GrabbableDots","14","2","2","1","2.647658","0","0"
"/UXToolsExamples/Common/DescriptionPanel/M_MRTKUnrealLogo.M_MRTKUnrealLogo","14","2","2","1","1.618320","0","0"
"/UXToolsExamples/Common/Assets/Materials/M_SimpleLit_Textured.M_SimpleLit_Textured","14","2","2","1","0.912059","0","0"
"/UXToolsExamples/Common/Assets/EarthCore/M_Earth.M_Earth","14","2","2","1","0.956780","0","0"
"/UXToolsExamples/Common/Materials/M_TrackedSurfaceMesh.M_TrackedSurfaceMesh","14","2","2","1","3.062347","0","0"
"/UXToolsExamples/Button/Blueprints/M_MusicArtwork.M_MusicArtwork","14","2","2","1","1.708580","0","0"
"/Game/sprite_material.sprite_material","14","18","18","1","24.478493","0","0"
